uid,id,type,codeCPV,acheteur_id,acheteur_nom,titulaire_id,titulaire_nom,montant,dateNotification,procedure,dureeMois,offresRecues,acheteur_departement_code,titulaire_departement_code,acheteur_region_code,titulaire_region_code
458204963000292024-41-04,2024-41-04,Travaux,45211000,45820496300029,DOMOFRANCE,75243988500027,REBECCHI,905400.0,2024-12-31,Appel d'offres ouvert,18.0,3,33,33,75.0,75.0
458204963000292024-41-05,2024-41-05,Travaux,45211000,45820496300029,DOMOFRANCE,48893471200040,SH MENUISERIE (SYNERGIE HABITAT MENUISERIE),1984000.0,2024-12-31,Appel d'offres ouvert,18.0,1,33,33,75.0,75.0
458204963000292024-41-06,2024-41-06,Travaux,45211000,45820496300029,DOMOFRANCE,31476572800048,SEGONZAC SAS,1112800.0,2024-12-31,Appel d'offres ouvert,18.0,2,33,33,75.0,75.0
458204963000292024-41-07,2024-41-07,Travaux,45211000,45820496300029,DOMOFRANCE,41186323600047,ENTREPRISES MENUISERIES AMENAGEMENTS,924200.0,2024-12-31,Appel d'offres ouvert,18.0,3,33,33,75.0,75.0
458204963000292024-41-08,2024-41-08,Travaux,45211000,45820496300029,DOMOFRANCE,31841452100035,ETABLISSEMENTS MINER,844200.0,2024-12-31,Appel d'offres ouvert,18.0,1,33,47,75.0,75.0
458204963000292024-41-09,2024-41-09,Travaux,45211000,45820496300029,DOMOFRANCE,47946178200035,SOC PROJECTION  PEINTURE INTERIEURE (SPPI),766600.0,2024-12-31,Appel d'offres ouvert,18.0,6,33,33,75.0,75.0
458204963000292024-41-10,2024-41-10,Travaux,45211000,45820496300029,DOMOFRANCE,33083925900018,GENER FERMETURE MENUIS METAL MIROIT,1227600.0,2024-12-31,Appel d'offres ouvert,18.0,2,33,33,75.0,75.0
458204963000292024-41-11,2024-41-11,Travaux,45211000,45820496300029,DOMOFRANCE,52904754000024,ETABLISSEMENTS DI PIAZZA,2320800.0,2024-12-31,Appel d'offres ouvert,18.0,4,33,31,75.0,76.0
458204963000292024-41-11bis,2024-41-11bis,Travaux,45211000,45820496300029,DOMOFRANCE,43859730400031,RESEAUX PROTECTION INCENDIE,664700.0,2024-12-31,Appel d'offres ouvert,18.0,1,33,33,75.0,75.0
458204963000292024-41-12,2024-41-12,Travaux,45211000,45820496300029,DOMOFRANCE,82979801600020,MATEOS ELECTRICITE AQUITAINE,1597400.0,2024-12-31,Appel d'offres ouvert,18.0,4,33,33,75.0,75.0
458204963000292024-41-13,2024-41-13,Travaux,45211000,45820496300029,DOMOFRANCE,35088899600054,ORONA SUD-OUEST,240000.0,2024-12-31,Appel d'offres ouvert,18.0,2,33,64,75.0,75.0
458204963000292024-41-14,2024-41-14,Travaux,45211000,45820496300029,DOMOFRANCE,35306386000061,PINSON SUD OUEST,594000.0,2024-12-31,Appel d'offres ouvert,18.0,1,33,33,75.0,75.0
458204963000292024-59-11,2024-59-11,Travaux,45211000,45820496300029,DOMOFRANCE,81981470800015,BORD'O ENERGIES,299386.0,2024-12-31,Procédure adaptée,18.0,1,33,33,75.0,75.0
458204963000292024-78-01,2024-78-01,Travaux,45211000,45820496300029,DOMOFRANCE,53514516300015,VINTAGE CONSTRUCTION,2978814.0,2024-12-31,Appel d'offres ouvert,22.0,1,33,33,75.0,75.0
458204963000292024-78-02,2024-78-02,Travaux,45211000,45820496300029,DOMOFRANCE,75047028800010,SO GE BOIS CONCEPT,93500.0,2024-12-31,Appel d'offres ouvert,22.0,1,33,24,75.0,75.0
458204963000292024-78-04,2024-78-04,Travaux,45211000,45820496300029,DOMOFRANCE,83436347500031,ABC ETANCHEITE,198400.0,2024-12-31,Appel d'offres ouvert,22.0,2,33,33,75.0,75.0
458204963000292024-78-05,2024-78-05,Travaux,45211000,45820496300029,DOMOFRANCE,48757969000040,SOL FACADE,246658.0,2024-12-31,Appel d'offres ouvert,22.0,3,33,31,75.0,76.0
458204963000292024-78-06,2024-78-06,Travaux,45211000,45820496300029,DOMOFRANCE,48893471200040,SH MENUISERIE (SYNERGIE HABITAT MENUISERIE),485270.0,2024-12-31,Appel d'offres ouvert,22.0,4,33,33,75.0,75.0
458204963000292024-78-10,2024-78-10,Travaux,45211000,45820496300029,DOMOFRANCE,41186323600047,ENTREPRISES MENUISERIES AMENAGEMENTS,244000.0,2024-12-31,Appel d'offres ouvert,22.0,6,33,33,75.0,75.0
458204963000292024-78-11,2024-78-11,Travaux,45211000,45820496300029,DOMOFRANCE,34936372100037,SUD OUEST ENERGIES (SUD OUEST SERVICES),870000.0,2024-12-31,Appel d'offres ouvert,22.0,2,33,33,75.0,75.0
458204963000292024-79-07,2024-79-07,Travaux,45211000,45820496300029,DOMOFRANCE,48893471200040,SH MENUISERIE (SYNERGIE HABITAT MENUISERIE),156738.0,2024-12-31,Procédure adaptée,17.0,1,33,33,75.0,75.0
458204963000292024-79-08,2024-79-08,Travaux,45211000,45820496300029,DOMOFRANCE,81237855200010,JOUNEAU SYSTEM,188644.0,2024-12-31,Procédure adaptée,17.0,3,33,33,75.0,75.0
616820205001542024-765,2024-765,Travaux,45211000,61682020500154,FLANDRE OPALE HABITAT SOCIETE ANONYME D HABITATION A LOYER MODERE,84846394900018,MAXIGROUPE,1150000.0,2024-12-31,Procédure adaptée,18.0,2,59,62,32.0,32.0
6308022620003420242024036,20242024036,Travaux,45211000,63080226200034,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE ALTEAL (ALTEAL),49253003500046,CARRELEURS MIDI PYRENEES (SOCIETE CMP),209763.2,2024-12-31,Procédure adaptée,16.0,3,31,31,76.0,76.0
660802844000282024448,2024448,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,32639618100033,SUD MENUISERIE ALUMINIUM PROFILES,94807.92,2024-12-31,Appel d'offres ouvert,23.0,2,31,31,76.0,76.0
66080284400028202444879,202444879,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,34834206400030,CARO TP,133791.38,2024-12-31,Appel d'offres ouvert,23.0,2,31,31,76.0,76.0
66080284400028202444881,202444881,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,33348378200046,STIBAT (SOCIETE DE TRAVAUX ET D'INGENIERIE DU BATIMENT),2628552.68,2024-12-31,Appel d'offres ouvert,23.0,2,31,31,76.0,76.0
66080284400028202444882,202444882,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,38193066800060,MIDI AQUITAINE ETANCHEITE - M.A.E. (M.A.E.),156743.86,2024-12-31,Appel d'offres ouvert,23.0,6,31,31,76.0,76.0
66080284400028202444883,202444883,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,82140361500015,SARL LA FACADE GARONNAISE,102500.0,2024-12-31,Appel d'offres ouvert,23.0,4,31,31,76.0,76.0
66080284400028202444884,202444884,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,31190131800031,ARBAN,185108.41,2024-12-31,Appel d'offres ouvert,23.0,6,31,01,76.0,84.0
66080284400028202444885,202444885,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,32639618100033,SUD MENUISERIE ALUMINIUM PROFILES,94807.92,2024-12-31,Appel d'offres ouvert,23.0,2,31,31,76.0,76.0
66080284400028202444886,202444886,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,50521385000041,BARBOSA FRERES,262545.7,2024-12-31,Appel d'offres ouvert,23.0,4,31,31,76.0,76.0
66080284400028202444887,202444887,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,31233059000067,SOMEPOSE,186259.69,2024-12-31,Appel d'offres ouvert,23.0,3,31,31,76.0,76.0
66080284400028202444888,202444888,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,40313613800043,CEDES SARL,249850.0,2024-12-31,Appel d'offres ouvert,23.0,2,31,31,76.0,76.0
66080284400028202444889,202444889,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,39228718100011,SEE AMARDEILH (S.E.E. AMARDEILH),639637.08,2024-12-31,Appel d'offres ouvert,23.0,5,31,09,76.0,76.0
66080284400028202444890,202444890,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,41858905700037,SOCIETE MERIDIONALE DE PEINTURE,135000.0,2024-12-31,Appel d'offres ouvert,23.0,3,31,31,76.0,76.0
66080284400028202444891,202444891,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,70080207700037,TOULOUSE CARRELAGES,38454.26,2024-12-31,Appel d'offres ouvert,23.0,2,31,31,76.0,76.0
66080284400028202444893,202444893,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,32274714800037,ENTREPRISE PEINTURE ET ENDUITS,149000.0,2024-12-31,Appel d'offres ouvert,23.0,2,31,31,76.0,76.0
66080284400028202444894,202444894,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,32939289800022,JARA METALLIER,524524.0,2024-12-31,Appel d'offres ouvert,23.0,2,31,31,76.0,76.0
66080284400028202444895,202444895,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,40748392400145,SMF SERVICES,6700.0,2024-12-31,Appel d'offres ouvert,23.0,4,31,59,76.0,32.0
66080284400028202444896,202444896,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,77666984800017,CLARAC ESPACES VERTS,38615.43,2024-12-31,Appel d'offres ouvert,23.0,4,31,09,76.0,76.0
660802844000282025462,2025462,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,31780344300348,EIFFAGE GC INFRA LINEAIRES (FOREZIENNE),532745.3,2024-12-31,Procédure adaptée,5.0,8,31,31,76.0,76.0
66080284400028202546261,202546261,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,31780344300348,EIFFAGE GC INFRA LINEAIRES (FOREZIENNE),532745.3,2024-12-31,Procédure adaptée,5.0,8,31,31,76.0,76.0
660802844000282025468,2025468,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,79525941500037,IPGO,34300.0,2024-12-31,Appel d'offres ouvert,23.0,3,31,31,76.0,76.0
66080284400028202546881,202546881,Travaux,45210000,66080284400028,SOCIETE ANONYME D'HABITATIONS A LOYER MODERE DES CHALETS,79525941500037,IPGO,34300.0,2024-12-31,Appel d'offres ouvert,23.0,3,31,31,76.0,76.0
699200051000672025211dy0000000,2025211dy0000000,Travaux,45211000,69920005100067,SA D'HLM  AIGUILLON CONSTRUCTION,51842082300024,L.M.I. PEINTURE (L.M.I PEINTURE),130000.0,2024-12-31,Procédure adaptée,24.0,5,35,29,53.0,53.0
69920005100067202532n6v0000000,202532n6v0000000,Travaux,45211000,69920005100067,SA D'HLM  AIGUILLON CONSTRUCTION,98047869700017,BORIS VAILLANT ETANCHEITE,80000.0,2024-12-31,Procédure adaptée,24.0,1,35,56,53.0,53.0
69920005100067202538e6y0000000,202538e6y0000000,Travaux,45211000,69920005100067,SA D'HLM  AIGUILLON CONSTRUCTION,43856958400024,SARL DELALANDE (MENUISERIE DELALANDE ROGER),245000.0,2024-12-31,Procédure adaptée,24.0,4,35,56,53.0,53.0
6992000510006720257vfbx0000000,20257vfbx0000000,Travaux,45211000,69920005100067,SA D'HLM  AIGUILLON CONSTRUCTION,50080884500035,CONSTRUCTEURS ENGAGES DURABLEMENT ET RESPONSABLES POUR L'AVENIR - CEDRA (MENUISERIE CARDINAL CREATION BOIS),195000.0,2024-12-31,Procédure adaptée,24.0,2,35,35,53.0,53.0
699200051000672025gxrvd0000000,2025gxrvd0000000,Travaux,45211000,69920005100067,SA D'HLM  AIGUILLON CONSTRUCTION,37833478300032,ATLANTIC PAYSAGES,80000.0,2024-12-31,Procédure adaptée,24.0,3,35,56,53.0,53.0
699200051000672025hq2sd0000000,2025hq2sd0000000,Travaux,45211000,69920005100067,SA D'HLM  AIGUILLON CONSTRUCTION,42861732800029,LME ELECTRICITE,326000.0,2024-12-31,Procédure adaptée,24.0,2,35,56,53.0,53.0
699200051000672025hvsot0000000,2025hvsot0000000,Travaux,45211000,69920005100067,SA D'HLM  AIGUILLON CONSTRUCTION,38898627500021,ACM,29000.0,2024-12-31,Procédure adaptée,24.0,1,35,56,53.0,53.0
699200051000672025i2e1s0000000,2025i2e1s0000000,Travaux,45211000,69920005100067,SA D'HLM  AIGUILLON CONSTRUCTION,87882822700016,CPI OUEST,260000.0,2024-12-31,Procédure adaptée,24.0,4,35,75,53.0,11.0
699200051000672025ithrf0000000,2025ithrf0000000,Travaux,45211000,69920005100067,SA D'HLM  AIGUILLON CONSTRUCTION,45065396900029,MARBEL-BREIZ 56 (MARBEL-BREIZ 56 - MB 56),90000.0,2024-12-31,Procédure adaptée,24.0,4,35,56,53.0,53.0
699200051000672025jsn970000000,2025jsn970000000,Travaux,45211000,69920005100067,SA D'HLM  AIGUILLON CONSTRUCTION,37817458500034,KALON TP,243000.0,2024-12-31,Procédure adaptée,24.0,4,35,56,53.0,53.0
699200051000672025neujl0000000,2025neujl0000000,Travaux,45211000,69920005100067,SA D'HLM  AIGUILLON CONSTRUCTION,83822981300012,L.M.S. REVETEMENTS,150000.0,2024-12-31,Procédure adaptée,24.0,5,35,56,53.0,53.0
699200051000672025ogdqx0000000,2025ogdqx0000000,Travaux,45211000,69920005100067,SA D'HLM  AIGUILLON CONSTRUCTION,53124772400010,ANDRE STEVANT,240000.0,2024-12-31,Procédure adaptée,24.0,1,35,56,53.0,53.0
699200051000672025vjns70000000,2025vjns70000000,Travaux,45211000,69920005100067,SA D'HLM  AIGUILLON CONSTRUCTION,80386866000017,LG METALLERIE (L.G. METALLERIE),230000.0,2024-12-31,Procédure adaptée,24.0,2,35,56,53.0,53.0
699200051000672025xpmom0000000,2025xpmom0000000,Travaux,45211000,69920005100067,SA D'HLM  AIGUILLON CONSTRUCTION,79844790000043,FLUIDE CONFORT ENERGIE (FCE),408000.0,2024-12-31,Procédure adaptée,24.0,2,35,56,53.0,53.0
699200051000672025zu1n20000000,2025zu1n20000000,Travaux,45211000,69920005100067,SA D'HLM  AIGUILLON CONSTRUCTION,86850020800012,SAS MOSSINO,1254000.0,2024-12-31,Procédure adaptée,24.0,3,35,56,53.0,53.0
759200751001302023REHA00,2023REHA00,Travaux,45211000,75920075100130,SEM DE CONSTRUCTION DU DPT DE L AIN (SOCIETE D'ECONOMIE MIXTE DU DEPARTEMENT DE L'AIN),96650042300035,FONTBONNE ET FILS,1935045.5,2024-12-31,Appel d'offres ouvert,24.0,1,01,69,84.0,84.0
04555025800029202405,202405,Travaux,45210000,4555025800029,SIA HABITAT,52022343900016,P-S-NETT,82228.25,2024-12-30,Appel d'offres ouvert,24.0,3,59,59,32.0,32.0
04555025800029720240,720240,Travaux,45210000,4555025800029,SIA HABITAT,83474085400015,PRESTATION SOL SERVICE,82228.22,2024-12-30,Appel d'offres ouvert,24.0,3,59,62,32.0,32.0
200036077000102024MA24038,2024MA24038,Travaux,45210000,20003607700010,COMMUNAUTE DE COMMUNES DU GOLFE DE SAINT-TROPEZ,49470399400033,E G S O (E G S O  ENTREPRISE GENERALE SECOND OEUVRE),63478.6,2024-12-30,Procédure adaptée,12.0,1,83,13,93.0,93.0
200064632000172023-3-2-COM,2023-3-2-COM,Travaux,45212000,20006463200017,COMMUNE DE VALD'YERRE (MAIRIE),32929575200029,SERVIBOIS,34952.4,2024-12-30,Procédure adaptée,18.0,4,28,28,24.0,24.0
20006774200011202437000OPAH,202437000OPAH,Travaux,45211360,20006774200011,CC SERRE-PONCON,78243790900057,SOLIHA ALPES DU SUD,344130.0,2024-12-30,Appel d'offres ouvert,60.0,3,05,05,93.0,93.0
21080372200417202424_031,202424_031,Travaux,45215400,21080372200417,COMMUNE DE SEDAN (MAIRIE),75175749300018,CCE FRANCE,100000.0,2024-12-30,Procédure adaptée,36.0,2,08,45,44.0,24.0
212801641000112024202415,2024202415,Travaux,45210000,21280164100011,COMMUNE DE FRESNAY L EVEQUE (MAIRIE),48242216900011,S2ME,106590.32,2024-12-30,Procédure adaptée,12.0,2,28,28,24.0,24.0
