acheteur_id,acheteur_nom,titulaire_id,titulaire_nom,montant_count,montant_sum,montant_mean,montant_min,montant_max,offresRecues_mean,offresRecues_min,offresRecues_max,dateNotification_min,dateNotification_max
17210120600016,DIRECTION INTERREGIONALE DES SERVICES PENITENTIAIRES DIJON - GRAND-CENTRE,34106498800023,ENTREPRISE DE CHARPENTE PELTIER,1,58000.0,58000.0,58000.0,58000.0,1.0,1,1,2024-12-27,2024-12-27
17340460900070,DIRECTION REGIONALE AFFAIRES CULTURELLES OCCITANIE,34536743700026,SAS VERMOREL,1,456167.4,456167.4,456167.4,456167.4,1.0,1,1,2024-11-18,2024-11-18
18001404502245,CENTRE NATIONAL DE LA FONCTION PUBLIQUE TERRITORIALE,62722004900092,HERVE THERMIQUE,2,250858.65,125429.325,124768.65,126090.0,4.0,4,4,2024-10-03,2024-12-02
18001404502617,CENTRE NATIONAL DE LA FONCTION PUBLIQUE TERRITORIALE (DELEGATION CENTRE-VAL DE LOIRE),38981890700328,BRUNET (BRUNET TOURS - BRUNET LOISEAU),1,6783.0,6783.0,6783.0,6783.0,1.0,1,1,2024-12-04,2024-12-04
18009006000997,INSTITUTION DE GESTION SOCIALE DES ARMEES (DIRECTION RESSOURCES HUMAINES),82878256500026,ESPACES VERTS SAVOIE MONT BLANC (VERIDIS),2,199882.34,99941.17,99941.17,99941.17,2.0,2,2,2024-09-23,2024-09-23
18009208200023,OPERATEUR DU PATRIMOINE ET DES PROJETS IMMOBILIERS DE LA CULTURE,32088927200037,CHAMPAGNE CONSTRUCTION RENOVATION,1,18564.0,18564.0,18564.0,18564.0,3.0,3,3,2024-10-15,2024-10-15
18009208200023,OPERATEUR DU PATRIMOINE ET DES PROJETS IMMOBILIERS DE LA CULTURE,56207779200082,BALAS,1,990805.0,990805.0,990805.0,990805.0,7.0,7,7,2024-12-05,2024-12-05
18060004100289,CENTRE REGIONAL OEUVRES UNIV SCOLAIRES,73162031600380,BOUYGUES BATIMENT SUD-EST,2,13580130.0,6790065.0,6790065.0,6790065.0,5.0,5,5,2024-12-10,2024-12-10
18310007200259,CENTRE REGIONAL OEUVRES UNIV SCOLAIRES (CROUS TOULOUSE),39794116200026,ENTREPRISE DE TRAVAUX ET DE RAVALEMENT,2,374787.20999999996,187393.60499999998,142511.4,232275.81,3.0,3,3,2024-11-06,2024-11-19
18310007200259,CENTRE REGIONAL OEUVRES UNIV SCOLAIRES (CROUS TOULOUSE),79084341100105,DEMATHIEU BARD CONSTRUCTION,1,658613.15,658613.15,658613.15,658613.15,3.0,3,3,2024-11-19,2024-11-19
19490970100303,UNIVERSITE D'ANGERS,06720032900042,VALLEE ATLANTIQUE,1,147173.86,147173.86,147173.86,147173.86,4.0,4,4,2024-07-17,2024-07-17
19490970100303,UNIVERSITE D'ANGERS,31800949500017,ENTREPRISE PIERRE BAUMARD (MAISONS DU LAYON),4,2957317.71,739329.4275,519401.0,962263.73,3.0,3,3,2024-07-17,2024-12-11
19490970100303,UNIVERSITE D'ANGERS,32340186900017,SOCIETE LA CHARPENTE THOUARSAISE,5,2171019.75,434203.95,84485.51,962263.73,2.0,2,2,2024-07-17,2024-12-11
19490970100303,UNIVERSITE D'ANGERS,32763035600159,VERRE SOLUTIONS,3,1556881.0,518960.3333333333,517096.0,520384.0,3.0,3,3,2024-07-17,2024-12-11
19490970100303,UNIVERSITE D'ANGERS,38109554600044,COIGNARD ANGERS LOIRE,3,1227092.93,409030.9766666666,187307.93,520384.0,4.0,4,4,2024-07-18,2024-12-11
19490970100303,UNIVERSITE D'ANGERS,41479929600259,INEO ATLANTIQUE (EQUANS),5,2354572.28,470914.45599999995,312550.04,512011.12,4.0,4,4,2024-07-17,2024-12-12
19490970100303,UNIVERSITE D'ANGERS,41833597200042,ISORE OUEST-ATLANTIQUE (ISORE FINITION),5,5191698.52,1038339.7039999999,457309.73,2732340.06,3.0,3,3,2024-07-18,2024-12-11
19490970100303,UNIVERSITE D'ANGERS,68204083702008,SMAC,2,1110143.17,555071.585,147879.44,962263.73,1.0,1,1,2024-07-17,2024-12-03
19490970100303,UNIVERSITE D'ANGERS,72202474200172,TK ELEVATOR FRANCE,3,643940.08,214646.69333333333,25300.0,312550.04,4.0,4,4,2024-07-18,2024-12-12
19490970100303,UNIVERSITE D'ANGERS,85135754100016,LA FABRIQUE DU SPORT,4,272711.15,68177.7875,12629.91,192162.77,3.0,3,3,2024-09-11,2024-10-10
19490970100303,UNIVERSITE D'ANGERS,85480074501422,AXIMA CONCEPT (EQUANS),3,1038640.08,346213.36,306090.04,420000.0,4.0,4,4,2024-07-17,2024-12-12
19801344300017,UNIVERSITE AMIENS PICARDIE JULES VERNE (PRESIDENCE DE L UNIVERSITE),32029116400012,LOISON,1,56481.0,56481.0,56481.0,56481.0,3.0,3,3,2024-07-25,2024-07-25
19801344300017,UNIVERSITE AMIENS PICARDIE JULES VERNE (PRESIDENCE DE L UNIVERSITE),38878492800177,EIFFAGE ENERGIE SYSTEMES - NORD,2,3463436.86,1731718.43,1731718.43,1731718.43,4.5,3,6,2024-10-08,2024-10-08
19801344300017,UNIVERSITE AMIENS PICARDIE JULES VERNE (PRESIDENCE DE L UNIVERSITE),42266011800015,ATELIERS DE MENUISERIE DUBAS DE DAOURS,1,121724.0,121724.0,121724.0,121724.0,3.0,3,3,2024-10-30,2024-10-30
19801344300017,UNIVERSITE AMIENS PICARDIE JULES VERNE (PRESIDENCE DE L UNIVERSITE),49813957500027,ETS PARIN-CLAIDIERE,1,181935.0,181935.0,181935.0,181935.0,3.0,3,3,2024-09-09,2024-09-09
19801344300017,UNIVERSITE AMIENS PICARDIE JULES VERNE (PRESIDENCE DE L UNIVERSITE),50121012400027,THEG,3,4488410.46,1496136.82,348750.0,2069830.23,2.0,1,3,2024-10-30,2024-11-04
19801344300017,UNIVERSITE AMIENS PICARDIE JULES VERNE (PRESIDENCE DE L UNIVERSITE),52518925400028,H.P.INDUSTRIE,1,253500.0,253500.0,253500.0,253500.0,2.0,2,2,2024-11-04,2024-11-04
19801344300017,UNIVERSITE AMIENS PICARDIE JULES VERNE (PRESIDENCE DE L UNIVERSITE),53791542300033,CEGELEC AMIENS (CEGELEC AMIENS RESEAUX /CEGELEC AMIENS TERTIAIRE),3,355659.43,118553.14333333333,49678.0,252000.0,2.3333333333333335,2,3,2024-07-04,2024-10-30
19801344300017,UNIVERSITE AMIENS PICARDIE JULES VERNE (PRESIDENCE DE L UNIVERSITE),58172166900066,CATY PEINTURE,1,99975.0,99975.0,99975.0,99975.0,3.0,3,3,2024-10-30,2024-10-30
19801344300017,UNIVERSITE AMIENS PICARDIE JULES VERNE (PRESIDENCE DE L UNIVERSITE),97921999500011,HDF CARRELAGE,1,64211.0,64211.0,64211.0,64211.0,4.0,4,4,2024-10-30,2024-10-30
20000062800079,CC RHONE LEZ PROVENCE,39876221100454,EIFFAGE ROUTE GRAND SUD (ALPES VAUCLUSE),1,76540.0,76540.0,76540.0,76540.0,1.0,1,1,2024-09-25,2024-09-25
20000871200016,COMMUNE DE ACOUA (MAIRIE),83358512800022,NAKIBOU ALI HADHURAMI (NAKIBOU CONSTRUCTION),1,96734.04,96734.04,96734.04,96734.04,1.0,1,1,2024-08-29,2024-08-29
20000877900015,COMMUNE DE CHIRONGUI (MAIRIE),02408218200023,KAMALI MADI RAMA (KAMA. ELEC.976),1,389987.25,389987.25,389987.25,389987.25,1.0,1,1,2024-10-07,2024-10-07
20000878700018,COMMUNE DE DEMBENI (MAIRIE),06630775200023,JA. NET,1,1039769.38,1039769.38,1039769.38,1039769.38,1.0,1,1,2024-09-06,2024-09-06
20000878700018,COMMUNE DE DEMBENI (MAIRIE),88523144900012,INEXENCE SOLS CREATION,1,1039769.38,1039769.38,1039769.38,1039769.38,1.0,1,1,2024-09-06,2024-09-06
20000880300013,COMMUNE DE KANI KELI (MAIRIE),02406496600013,MADI ANDY (E.C.P.P.),2,559267.3,279633.65,279633.65,279633.65,1.0,1,1,2024-11-06,2024-11-06
20000880300013,COMMUNE DE KANI KELI (MAIRIE),06630527700015,COLAS MAYOTTE,2,452834.0,226417.0,226417.0,226417.0,1.0,1,1,2024-11-06,2024-11-06
20000880300013,COMMUNE DE KANI KELI (MAIRIE),09938838100016,ASSIMINI MADI BACAR (E.M.P.M.),2,367996.0,183998.0,183998.0,183998.0,1.0,1,1,2024-11-06,2024-11-06
20000883700011,COMMUNE DE MAMOUDZOU (MAIRIE),02406754800024,MAHONET,1,70250.0,70250.0,70250.0,70250.0,2.0,2,2,2024-10-24,2024-10-24
20000883700011,COMMUNE DE MAMOUDZOU (MAIRIE),06631305700011,BASTOINE SAID (HDB CREATION),1,128160.34,128160.34,128160.34,128160.34,8.0,8,8,2024-08-21,2024-08-21
20000883700011,COMMUNE DE MAMOUDZOU (MAIRIE),09413023400019,HOUMADI MOUSTAPHA,2,349146.64,174573.32,174573.32,174573.32,5.0,5,5,2024-08-21,2024-09-10
20000883700011,COMMUNE DE MAMOUDZOU (MAIRIE),44167958600012,PRO SERVICES SARL,1,6754501.1,6754501.1,6754501.1,6754501.1,11.0,11,11,2024-09-09,2024-09-09
20000883700011,COMMUNE DE MAMOUDZOU (MAIRIE),50487736600022,MAOULIDA SAID (TAMA DJEMA),1,53489.3,53489.3,53489.3,53489.3,9.0,9,9,2024-08-21,2024-08-21
20000883700011,COMMUNE DE MAMOUDZOU (MAIRIE),53060907200018,ARCH'ADAPT,1,6754501.1,6754501.1,6754501.1,6754501.1,11.0,11,11,2024-09-09,2024-09-09
20000883700011,COMMUNE DE MAMOUDZOU (MAIRIE),74997091900017,"CABINET D'INGENERIE, CONSEIL, D'ASSISTANCE ET DE MANAGEMENT DES PROJETS",1,6754501.1,6754501.1,6754501.1,6754501.1,11.0,11,11,2024-09-09,2024-09-09
20000883700011,COMMUNE DE MAMOUDZOU (MAIRIE),79895464000016,KAYA SARL,1,6754501.1,6754501.1,6754501.1,6754501.1,11.0,11,11,2024-09-09,2024-09-09
20000883700011,COMMUNE DE MAMOUDZOU (MAIRIE),81204605000017,HIPPOCAMPE INGENIERIE ET CONSEILS,1,6754501.1,6754501.1,6754501.1,6754501.1,11.0,11,11,2024-09-09,2024-09-09
20000883700011,COMMUNE DE MAMOUDZOU (MAIRIE),81942022500024,B2M-CONSULTING,1,6754501.1,6754501.1,6754501.1,6754501.1,11.0,11,11,2024-09-09,2024-09-09
20000883700011,COMMUNE DE MAMOUDZOU (MAIRIE),82214275800017,SOCIETE D'AMENAGEMENT ET DE TRAVAUX,1,6754501.1,6754501.1,6754501.1,6754501.1,11.0,11,11,2024-09-09,2024-09-09
20000883700011,COMMUNE DE MAMOUDZOU (MAIRIE),89961040600014,MAY INGENIERIE,1,6754501.1,6754501.1,6754501.1,6754501.1,11.0,11,11,2024-09-09,2024-09-09
20000883700011,COMMUNE DE MAMOUDZOU (MAIRIE),90169393700012,CHAM MACON ELEC SERVICES,2,605799.46,302899.73,302899.73,302899.73,8.0,8,8,2024-08-21,2024-09-10
20000883700011,COMMUNE DE MAMOUDZOU (MAIRIE),92141235900017,S&C ENGINEERING,1,6754501.1,6754501.1,6754501.1,6754501.1,11.0,11,11,2024-09-09,2024-09-09
20000883700383,COMMUNE DE MAMOUDZOU (SRU),41433522400021,JIPE REUNION,1,198163.73,198163.73,198163.73,198163.73,1.0,1,1,2024-08-12,2024-08-12
20000888600018,COMMUNE DE TSINGONI (MAIRIE),09412947500029,SOCIETE MAHORAISE DE TRAVAUX PUBLICS ET DE CONSTRUCTION SNC (SOCIETE MAHORAISE DE RENOVATION ET DE REHABILITATI),1,12761000.0,12761000.0,12761000.0,12761000.0,1.0,1,1,2024-09-09,2024-09-09
20000888600018,COMMUNE DE TSINGONI (MAIRIE),09938292100023,SOGEA MAYOTTE,1,12761000.0,12761000.0,12761000.0,12761000.0,1.0,1,1,2024-09-09,2024-09-09
20000888600018,COMMUNE DE TSINGONI (MAIRIE),50175631600029,BIOCLIMATIK,1,12761000.0,12761000.0,12761000.0,12761000.0,1.0,1,1,2024-09-09,2024-09-09
20000888600018,COMMUNE DE TSINGONI (MAIRIE),52079860400010,SARL H.E.B.,1,190740.0,190740.0,190740.0,190740.0,1.0,1,1,2024-09-13,2024-09-13
20000888600018,COMMUNE DE TSINGONI (MAIRIE),82507921300013,KAZA CONSTRUCTION AUSTRAL,1,309482.47,309482.47,309482.47,309482.47,1.0,1,1,2024-10-17,2024-10-17
20001120300011,CTRE HOSPITALIER INTERCOMMUNAL AGGLOMERATION DE NEVERS,31935724000039,ENTREPRISE LECOMTE,1,20522.45,20522.45,20522.45,20522.45,16.0,16,16,2024-12-10,2024-12-10
20001120300011,CTRE HOSPITALIER INTERCOMMUNAL AGGLOMERATION DE NEVERS,83461592400018,BATI CONCEPT,1,87000.0,87000.0,87000.0,87000.0,16.0,16,16,2024-11-29,2024-11-29
20001120300011,CTRE HOSPITALIER INTERCOMMUNAL AGGLOMERATION DE NEVERS,91414269000017,SAS MIRECO,1,39881.06,39881.06,39881.06,39881.06,16.0,16,16,2024-12-02,2024-12-02
20001177300104,ANNEMASSE-LES VOIRONS-AGGLOMERATION,49183903100045,LIFTEAM,2,5858500.88,2929250.44,2929250.44,2929250.44,1.0,1,1,2024-11-27,2024-11-27
20001840600013,COMMUNAUTE DE COMMUNES DU ROMORANTINAIS ET DU MONESTOIS,32563411100026,ENTREPRISE PORTAIL,1,178250.36,178250.36,178250.36,178250.36,2.0,2,2,2024-07-04,2024-07-04
20002337200010,COMMUNAUTE DE COMMUNES DE LA VALLEE DE CHAMONIX MONT BLANC,48250536900033,SEDIP,1,45648.0,45648.0,45648.0,45648.0,1.0,1,1,2024-07-01,2024-07-01
20002337200010,COMMUNAUTE DE COMMUNES DE LA VALLEE DE CHAMONIX MONT BLANC,50908831600047,E.G. CONSTRUCTIONS (ANCEY CONSTRUCTIONS),1,208766.06,208766.06,208766.06,208766.06,1.0,1,1,2024-07-31,2024-07-31
20002341400101,METROPOLE ROUEN NORMANDIE,32100689200400,BOUYGUES BATIMENT GRAND OUEST,1,4172636.0,4172636.0,4172636.0,4172636.0,3.0,3,3,2024-07-15,2024-07-15
20002341400101,METROPOLE ROUEN NORMANDIE,50869899000019,ETN ENTREPRISE DE TERRASSEMENT DE NORMANDIE,1,4172636.0,4172636.0,4172636.0,4172636.0,3.0,3,3,2024-07-15,2024-07-15
20002341400101,METROPOLE ROUEN NORMANDIE,84358571200022,OUEST FONDATIONS,1,4172636.0,4172636.0,4172636.0,4172636.0,3.0,3,3,2024-07-15,2024-07-15
20002362000012,CC DE LA GASCOGNE TOULOUSAINE,44938876800029,NIN,1,109749.54,109749.54,109749.54,109749.54,2.0,2,2,2024-08-20,2024-08-20
20002534400017,NORMANDIE EQUINE VALLEE,31397713400078,SAS PIERRE,8,13571093.78,1696386.7225,319972.5,4263725.92,3.0,3,3,2024-07-05,2024-12-12
20002534400017,NORMANDIE EQUINE VALLEE,34376125000061,VOLUTIQUE,2,1398059.3,699029.65,699029.65,699029.65,2.0,1,3,2024-10-21,2024-10-21
20002534400017,NORMANDIE EQUINE VALLEE,38396299000024,SAS BONAUD,4,7300223.82,1825055.955,319972.5,4263725.92,3.0,3,3,2024-07-05,2024-09-23
20002534400017,NORMANDIE EQUINE VALLEE,53325600400037,ENC CGB,3,13769382.81,4589794.2700000005,1135814.71,6317989.95,2.0,2,2,2024-08-01,2024-09-26
20002706800010,COMMUNAUTE D'AGGLOMERATION DU LIBOURNAIS,45311138700024,ART-DAN,1,865000.0,865000.0,865000.0,865000.0,14.0,14,14,2024-09-02,2024-09-02
20002718300017,PERPIGNAN MEDITERRANEE METROPOLE COMMUNAUTE URBAINE,34515469400201,STE D'ENTRETIEN ET DE RESTAURATION DU PATRIMOINE ET DE L'ENVIRONNEMENT,1,47847.0,47847.0,47847.0,47847.0,3.0,3,3,2024-08-12,2024-08-12
20002718300017,PERPIGNAN MEDITERRANEE METROPOLE COMMUNAUTE URBAINE,98286984400018,B-RAIL,2,244934.0,122467.0,122467.0,122467.0,2.0,2,2,2024-08-22,2024-08-22
20002766200028,MUSEE DU LOUVRE LENS,47785409500023,BAREM,1,51320.0,51320.0,51320.0,51320.0,3.0,3,3,2024-07-30,2024-07-30
20002766200028,MUSEE DU LOUVRE LENS,48845896900059,GRANDS ENSEMBLE (GRAND ENSEMBLE),1,51320.0,51320.0,51320.0,51320.0,3.0,3,3,2024-07-30,2024-07-30
20002973400015,CC DES 4B SUD CHARENTE,38104777800034,ATELIER DU BOIS,1,20002.0,20002.0,20002.0,20002.0,3.0,3,3,2024-12-16,2024-12-16
20002973400015,CC DES 4B SUD CHARENTE,47898141800013,DAVIAS ELECTRICITE,1,14570.0,14570.0,14570.0,14570.0,5.0,5,5,2024-10-15,2024-10-15
20003019500115,METROPOLE NICE COTE D AZUR,41228073720375,SNCF RESEAU,1,2000000.0,2000000.0,2000000.0,2000000.0,1.0,1,1,2024-09-20,2024-09-20
20003019500115,METROPOLE NICE COTE D AZUR,92097939000019,SOCIETE DE LA LIGNE NOUVELLE PROVENCE COTE D'AZUR,1,578527.14,578527.14,578527.14,578527.14,1.0,1,1,2024-11-26,2024-11-26
20003063300198,CA DU CAUDRESIS ET DU CATESIS,39154369100128,AGORESPACE,2,140000.0,70000.0,60000.0,80000.0,1.0,1,1,2024-10-08,2024-10-08
20003311600043,COMMUNAUTE DE COMMUNES CLUSES ARVE ET MONTAGNES,35091766200289,EIFFAGE CONSTRUCTION CENTRE EST (EIFFAGE CONSTRUCTION HAUTE SAVOIE),1,393677.62,393677.62,393677.62,393677.62,3.0,3,3,2024-11-18,2024-11-18
20003311600043,COMMUNAUTE DE COMMUNES CLUSES ARVE ET MONTAGNES,39071365900022,COSEEC FRANCE,1,242272.0,242272.0,242272.0,242272.0,2.0,2,2,2024-07-29,2024-07-29
20003311600043,COMMUNAUTE DE COMMUNES CLUSES ARVE ET MONTAGNES,48250536900033,SEDIP,1,237573.0,237573.0,237573.0,237573.0,4.0,4,4,2024-12-04,2024-12-04
20003311600043,COMMUNAUTE DE COMMUNES CLUSES ARVE ET MONTAGNES,52039900700027,TECHNIVERRE CONZATTI,1,237573.0,237573.0,237573.0,237573.0,4.0,4,4,2024-12-04,2024-12-04
20003329800015,COMMUNAUTE DE COMMUNES DES COEVRONS,55615017500017,PIGEON TP LOIRE ANJOU,2,1774859.47,887429.735,873789.86,901069.61,3.0,3,3,2024-07-22,2024-10-18
20003357900018,COMMUNAUTE URBAINE D'ARRAS,35380029500035,NAVIC,1,151902.91,151902.91,151902.91,151902.91,1.0,1,1,2024-11-29,2024-11-29
20003369400015,COMMUNE DE DEVOLUY (MAIRIE),31844625900034,ABRACHY,3,1734353.46,578117.82,578117.82,578117.82,2.0,2,2,2024-08-22,2024-12-05
20003369400015,COMMUNE DE DEVOLUY (MAIRIE),89853406000014,CARATECH-MS,3,8727688.0,2909229.3333333335,2900000.0,2913844.0,2.0,2,2,2024-08-22,2024-12-17
20003434600011,COMMUNE DE SAINT GERMAIN NUELLES (MAIRIE),30940923300074,IRELEM,1,71701.0,71701.0,71701.0,71701.0,1.0,1,1,2024-09-06,2024-09-06
20003434600011,COMMUNE DE SAINT GERMAIN NUELLES (MAIRIE),45352461300024,MASTER INDUSTRIE,1,87392.5,87392.5,87392.5,87392.5,1.0,1,1,2024-09-06,2024-09-06
20003434600011,COMMUNE DE SAINT GERMAIN NUELLES (MAIRIE),49026553500040,LAGEM (L3BOIS),1,85719.47,85719.47,85719.47,85719.47,1.0,1,1,2024-09-06,2024-09-06
20003434600011,COMMUNE DE SAINT GERMAIN NUELLES (MAIRIE),49893012200029,METALFER,1,87992.65,87992.65,87992.65,87992.65,1.0,1,1,2024-09-06,2024-09-06
20003434600011,COMMUNE DE SAINT GERMAIN NUELLES (MAIRIE),69378006600033,ETABLISSEMENTS MURY,1,116000.0,116000.0,116000.0,116000.0,1.0,1,1,2024-09-06,2024-09-06
20003434600011,COMMUNE DE SAINT GERMAIN NUELLES (MAIRIE),72657145800025,FARJOT CONSTRUCTIONS,1,352811.16,352811.16,352811.16,352811.16,1.0,1,1,2024-09-03,2024-09-03
20003434600011,COMMUNE DE SAINT GERMAIN NUELLES (MAIRIE),90186203700016,MBC ETANCHEITE,1,84150.0,84150.0,84150.0,84150.0,1.0,1,1,2024-09-06,2024-09-06
20003434600011,COMMUNE DE SAINT GERMAIN NUELLES (MAIRIE),96850440700030,CROUZET FILS,1,290000.0,290000.0,290000.0,290000.0,1.0,1,1,2024-09-06,2024-09-06
20003437900012,COMMUNAUTE DE COMMUNES PAYS D'UZES,05680065900155,SNEF,1,319874.87,319874.87,319874.87,319874.87,1.0,1,1,2024-08-14,2024-08-14
20003437900012,COMMUNAUTE DE COMMUNES PAYS D'UZES,48519755200394,SOPREMA ENTREPRISES,1,503000.0,503000.0,503000.0,503000.0,5.0,5,5,2024-09-26,2024-09-26
20003437900012,COMMUNAUTE DE COMMUNES PAYS D'UZES,82496879600022,CMT BATIMENT,1,104697.44,104697.44,104697.44,104697.44,1.0,1,1,2024-10-30,2024-10-30
20003520200015,CHARLIEU-BELMONT COMMUNAUTE,49491224900013,CHAVANY TRAVAUX PUBLICS,2,4292043.8,2146021.9,2146021.9,2146021.9,1.0,1,1,2024-07-08,2024-08-28
20003520200015,CHARLIEU-BELMONT COMMUNAUTE,72598019700018,BERTRAND DURON CONSTRUCTEUR,2,4292043.8,2146021.9,2146021.9,2146021.9,1.0,1,1,2024-07-08,2024-08-28
20003532700010,COMMUNAUTE DE COMMUNES CAZALS SALVIAC,35372076600016,BRONDEL FRERES,1,94235.12,94235.12,94235.12,94235.12,3.0,3,3,2024-08-02,2024-08-02
20003581400017,FLERS AGGLO,34417184800049,FLERS ERGONOMIE METALLERIE,1,28400.0,28400.0,28400.0,28400.0,2.0,2,2,2024-07-09,2024-07-09
20003606900017,CC DU PAYS DE MORTAGNE AU PERCHE,55615017500017,PIGEON TP LOIRE ANJOU,1,856526.79,856526.79,856526.79,856526.79,3.0,3,3,2024-09-12,2024-09-12
20003607700010,COMMUNAUTE DE COMMUNES DU GOLFE DE SAINT-TROPEZ,32933888301466,COLAS FRANCE (ETABLISSEMENT DE FREJUS),1,1383922.7,1383922.7,1383922.7,1383922.7,3.0,3,3,2024-11-14,2024-11-14
20003607700010,COMMUNAUTE DE COMMUNES DU GOLFE DE SAINT-TROPEZ,49470399400033,E G S O (E G S O  ENTREPRISE GENERALE SECOND OEUVRE),1,63478.6,63478.6,63478.6,63478.6,1.0,1,1,2024-12-30,2024-12-30
20003644000051,SYNDICAT DES EAUX DES ROCAILLES ET DE BELLECOMBE,38907426100022,HYDREA,1,171862.5,171862.5,171862.5,171862.5,1.0,1,1,2024-07-08,2024-07-08
20003654900166,COMMUNAUTE DE COMMUNES VAL DE GRAY,33263971500025,ENTRE-PRISES,2,134000.0,67000.0,67000.0,67000.0,4.0,4,4,2024-07-25,2024-07-25
20003654900166,COMMUNAUTE DE COMMUNES VAL DE GRAY,33263971500033,ENTRE-PRISES,1,67000.0,67000.0,67000.0,67000.0,4.0,4,4,2024-07-25,2024-07-25
20003920400017,CC DE LACQ-ORTHEZ,92266912200017,LARUNS AVENTURES TRAVAUX,1,64070.0,64070.0,64070.0,64070.0,9.0,9,9,2024-10-25,2024-10-25
20003982400012,CC ARDECHE DES SOURCES ET VOLCANS,34802877000033,MOULIN CHARPENTE SAS,1,123704.02,123704.02,123704.02,123704.02,2.0,2,2,2024-08-05,2024-08-05
20003982400012,CC ARDECHE DES SOURCES ET VOLCANS,41086672700010,MICHEL JAUFFRE SARL,1,83114.19,83114.19,83114.19,83114.19,3.0,3,3,2024-12-03,2024-12-03
20003982400012,CC ARDECHE DES SOURCES ET VOLCANS,83537128700011,DUFFAUD METALLERIE,1,57238.13,57238.13,57238.13,57238.13,3.0,3,3,2024-12-03,2024-12-03
20003986500106,METZ METROPOLE,44408134300014,ETABLISSEMENTS MOUGEL HENRI & FILS (SUEDE SAUNA / SAUNARDANT),1,58000.0,58000.0,58000.0,58000.0,3.0,3,3,2024-11-04,2024-11-04
20003994900017,CC RIVES DE MOSELLE,47904886000023,ENTREPRISE JEAN LEFEBVRE LORRAINE,1,1149853.88,1149853.88,1149853.88,1149853.88,4.0,4,4,2024-12-24,2024-12-24
20004010300042,SIVOM DES RIVES DE L'AA ET DE LA COLME,35058499100011,PLAETEVOET SPORT ET PAYSAGES,2,509148.57999999996,254574.28999999998,160283.65,348864.93,2.5,2,3,2024-08-20,2024-11-28
20004010300042,SIVOM DES RIVES DE L'AA ET DE LA COLME,35058499100029,PLAETEVOET SPORT ET PAYSAGES,1,348864.0,348864.0,348864.0,348864.0,3.0,3,3,2024-08-20,2024-08-20
20004010300042,SIVOM DES RIVES DE L'AA ET DE LA COLME,38790272900053,ACS PRODUCTION,2,697728.9299999999,348864.46499999997,348864.0,348864.93,3.0,3,3,2024-08-20,2024-08-20
20004027700010,CA AGGLO DU PAYS DE DREUX,53185832200013,SOCIETE AUXILIAIRE DE TRAVAUX PUBLICS,1,74677.3,74677.3,74677.3,74677.3,3.0,3,3,2024-07-22,2024-07-22
20004027700010,CA AGGLO DU PAYS DE DREUX,77559249600084,EUROVIA CENTRE LOIRE,2,10227651.66,5113825.83,5113825.83,5113825.83,5.0,5,5,2024-11-22,2024-11-22
20004039200231,CA LE GRAND PERIGUEUX,31554847900023,MATHIEU ET COMPAGNIE,1,16967.24,16967.24,16967.24,16967.24,2.0,2,2,2024-10-29,2024-10-29
